title;start;oldrun;path_report;magpie_scen;LU_pricing;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_opt
SSP2-Base_teOffen;0;;;SSP2,NPI,DIPOL_3;y2100;;;;
SSP2-NDC_teOffen;0;;;SSP2,NDC,DIPOL_3;y2100;;;;
SSP2-Npi_teOffen;0;;;SSP2,NPI,DIPOL_3;y2100;;;;
SSP2-PkBudg900_teOffen;0;;;SSP2,NDC,DIPOL_3;y2020;;;;
SSP2-PkBudg1300_teOffen;0;;;SSP2,NDC,DIPOL_3;y2020;;;;
SSP2-Base_teSteu;0;;;SSP2,NPI,DIPOL_6;y2100;;;;
SSP2-NDC_teSteu;0;;;SSP2,NDC,DIPOL_6;y2100;;;;
SSP2-NPi_teSteu;0;;;SSP2,NPI,DIPOL_6;y2100;;;;
SSP2-PkBudg900_teSteu;0;;;SSP2,NDC,DIPOL_6;y2020;;;;
SSP2-PkBudg1300_teSteu;0;;;SSP2,NDC,DIPOL_6;y2020;;;;
SSP2-Base_teKons;0;;;SSP2,NPI,?;y2100;;;;
SSP2-NDC_teKons;0;;;SSP2,NDC,?;y2100;;;;
SSP2-NPi_teKons;0;;;SSP2,NPI,?;y2100;;;;
SSP2-PkBudg900_teKons;0;;;SSP2,NDC,?;y2020;;;;
SSP2-PkBudg1300_teKons;0;;;SSP2,NDC,?;y2020;;;;
SSP2-NDC_S1;0;;;SSP2,NDC,DIPOL_1;y2100;;;;
SSP2-PkBudg1300_S1;0;;;SSP2,NDC,DIPOL_1;y2020;;;;
SSP2-PkBudg900_S1;0;;;SSP2,NDC,DIPOL_1;y2020;;;;
SSP2-NDC_S2;0;;;SSP2,NDC,DIPOL_2;y2100;;;;
SSP2-PkBudg1300_S2;0;;;SSP2,NDC,DIPOL_2;y2020;;;;
SSP2-PkBudg900_S2;0;;;SSP2,NDC,DIPOL_2;y2020;;;;
SSP2-NDC_S3;0;;;SSP2,NDC,DIPOL_3;y2100;;;;
SSP2-PkBudg1300_S3;0;;;SSP2,NDC,DIPOL_3;y2020;;;;
SSP2-PkBudg900_S3;0;;;SSP2,NDC,DIPOL_3;y2020;;;;
SSP2-NDC_S4;0;;;SSP2,NDC,DIPOL_4;y2100;;;;
SSP2-PkBudg1300_S4;0;;;SSP2,NDC,DIPOL_4;y2020;;;;
SSP2-PkBudg900_S4;0;;;SSP2,NDC,DIPOL_4;y2020;;;;
SSP2-NDC_S5;0;;;SSP2,NDC,DIPOL_5;y2100;;;;
SSP2-PkBudg1300_S5;0;;;SSP2,NDC,DIPOL_5;y2020;;;;
SSP2-PkBudg900_S5;0;;;SSP2,NDC,DIPOL_5;y2020;;;;
SSP2-NDC_S6;0;;;SSP2,NDC,DIPOL_6;y2100;;;;
SSP2-PkBudg1300_S6;0;;;SSP2,NDC,DIPOL_6;y2020;;;;
SSP2-PkBudg900_S6;0;;;SSP2,NDC,DIPOL_6;y2020;;;;
SSP2-NDC_S7;0;;;SSP2,NDC,DIPOL_7;y2100;;;;
SSP2-PkBudg1300_S7;0;;;SSP2,NDC,DIPOL_7;y2020;;;;
SSP2-PkBudg900_S7;0;;;SSP2,NDC,DIPOL_7;y2020;;;;
