title;start;qos;oldrun;path_report;magpie_scen;LU_pricing;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_opt
SSP2-Base;0;priority;;;SSP2,NPI;y2150;;;;
SSP2-NPi;0;priority;;;SSP2,NPI;y2150;;;;
SSP2-MultigasPkBudg2200-LUmit_full;0;short;;;SSP2,NPI;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_only-non-CO2;0;short;;;SSP2,NPI,noTaxCO2;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_only-REDDplus;0;short;;;SSP2,NPI,noTaxCH4_N2O;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_only-bioenergy;0;short;;;SSP2,NPI,allTaxOff;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_off;0;short;;;SSP2,NPI,allTaxOff;y2020;;;;
SSP2-MultigasPkBudg1400-LUmit_full;0;short;;;SSP2,NPI;y2020;;;;
SSP2-MultigasPkBudg1400-LUmit_only-non-CO2;0;short;;;SSP2,NPI,noTaxCO2;y2020;;;;
SSP2-MultigasPkBudg1400-LUmit_only-REDDplus;0;short;;;SSP2,NPI,noTaxCH4_N2O;y2020;;;;
SSP2-MultigasPkBudg1400-LUmit_only-bioenergy;0;short;;;SSP2,NPI,allTaxOff;y2020;;;;
SSP2-MultigasPkBudg1400-LUmit_off;0;short;;;SSP2,NPI,allTaxOff;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_non-CO2-off;0;short;;;SSP2,NPI,noTaxCH4_N2O;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_REDDplus-off;0;short;;;SSP2,NPI,noTaxCO2;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_bioenergy-off;0;short;;;SSP2,NPI;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_only-non-CO2-noRes;0;short;;;SSP2,NPI,noTaxCO2;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_only-REDDplus-noRes;0;short;;;SSP2,NPI,noTaxCH4_N2O;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_off-noRes;0;short;;;SSP2,NPI,allTaxOff;y2020;;;;
SSP2-MultigasPkBudg2200-LUmit_bioenergy-off-noRes;0;short;;;SSP2,NPI;y2020;;;;
